kelurahan;pos_code;kecamatan
Bedahan;62271;Babat
Timlonga;97791;Bacan Timur
Bulumargi;62271;Babat
Sentul;16810;Babakan Madang
Datinawong;62271;Babat
Gembong;62271;Babat
Gendongkulon (Gendong Kulon);62271;Babat
Wayamiga;97791;Bacan Timur
Sumurbatu (Sumur Batu);16810;Babakan Madang
Karangkembang;62271;Babat
Cadek;23373;Baitussalam
Kebalandono;62271;Babat
Babakan;40222;Babakan Ciparay
Dgandasuli (Gandasuli);97791;Bacan Selatan
Kebalanpelang;62271;Babat
Cot Paya;23373;Baitussalam
Kebonagung;62271;Babat
Babakan Ciparay;40223;Babakan Ciparay
Kubung;97791;Bacan Selatan
Keyongan;62271;Babat
Kupal;97791;Bacan Selatan
Cirangrang;40227;Babakan Ciparay
Kajhu;23373;Baitussalam
Margahayu Utara;40224;Babakan Ciparay
Makian (Kampung Makian);97791;Bacan Selatan
Klieng Cot Aron;23373;Baitussalam
Margasuka;40225;Babakan Ciparay
Mandawong (Mandaong);97791;Bacan Selatan
Panamboang;97791;Bacan Selatan
Sukahaji;40221;Babakan Ciparay
Klieng Muria (Klieng Meuria);23373;Baitussalam
Papaloang;97791;Bacan Selatan
Babakan;45191;Babakan
Sawadai;97791;Bacan Selatan
Kuripan;62271;Babat
Babakan Gebang (Babakangebang);45191;Babakan
Labuy (Labui);23373;Baitussalam
Moropelang;62271;Babat
Tembal;97791;Bacan Selatan
Bojonggebang;45191;Babakan
Patihan;62271;Babat
Tuwokona (Tuakona);97791;Bacan Selatan
Plaosan;62271;Babat
Cangkuang;45191;Babakan
Lam Asan;23373;Baitussalam
Pucakwangi;62271;Babat
Geti Baru;97791;Bacan Barat Utara
Sambangan;62271;Babat
Gembongan;45191;Babakan
Lam Bada Lhok;23373;Baitussalam
Sogo;62271;Babat
Geti Lama;97791;Bacan Barat Utara
Sumurgenuk (Sumur Genuk);62271;Babat
Gembongan Mekar (Gembonganmekar);45191;Babakan
Gilalang;97791;Bacan Barat Utara
Trepan;62271;Babat
Tritunggal;62271;Babat
Lam Ujong;23373;Baitussalam
Karangwangun;45191;Babakan
Truni;62271;Babat
Jojame;97791;Bacan Barat Utara
Kudukeras;45191;Babakan
Hertuti;97451;Babar Barat (Pulau Pulau Babar)
Lolarogurua (Gorua Lolaro \/ Lolorogurua);97791;Bacan Barat Utara
Imroing;97451;Babar Barat (Pulau Pulau Babar)
Nusa Babullah (Nusa Babi);97791;Bacan Barat Utara
Kudumulya;45191;Babakan
Letsiara;97451;Babar Barat (Pulau Pulau Babar)
Sidopo;97791;Bacan Barat Utara
Lewah;97451;Babar Barat (Pulau Pulau Babar)
Yaba;97791;Bacan Barat Utara
Pakusamben;45191;Babakan
Indari;97791;Bacan Barat
Serang Kulon;45191;Babakan
Kokotu;97791;Bacan Barat
Kusubibi;97791;Bacan Barat
Sinairusi;97451;Babar Barat (Pulau Pulau Babar)
Serang Wetan;45191;Babakan
Nang;97791;Bacan Barat
Tela;97451;Babar Barat (Pulau Pulau Babar)
Sumber Kidul;45191;Babakan
Nondang;97791;Bacan Barat
Tepa;97451;Babar Barat (Pulau Pulau Babar)
Lampineung;23373;Baitussalam
Wanuwui (Manuwui);97451;Babar Barat (Pulau Pulau Babar)
Sumber Lor;45191;Babakan
Tawabi;97791;Bacan Barat
Yaltubung;97451;Babar Barat (Pulau Pulau Babar)
Berandan Barat (Brandan Barat);20857;Babalan
Alue Dawah;23767;Babah Rot
Berandan Timur (Brandan Timur);20857;Babalan
Berandan Timur Baru (Brandan Timur Baru);20857;Babalan
Alue Jeuruejak;23767;Babah Rot
Pelawi Selatan;20857;Babalan
Alue Peunawa;23767;Babah Rot
Pelawi Utara;20857;Babalan
Securai Selatan;20857;Babalan
Yebena;99041;Aweku
Blang Dalam;23767;Babah Rot
Securai Utara;20857;Babalan
Teluk Meku;20857;Babalan
Yelly;99041;Aweku
Blang Raja;23767;Babah Rot
Babakancikao;41151;Babakancikao
Bumaida;98732;Aweida
Cicadas;41151;Babakancikao
Cot Seumantok;23767;Babah Rot
Debaiye;98732;Aweida
Cigelam;41151;Babakancikao
Deta;98732;Aweida
Cilangkap;41151;Babakancikao
Gunung Samarinda;23767;Babah Rot
Ciwareng;41151;Babakancikao
Komopa;98732;Aweida
Hegarmanah;41151;Babakancikao
Ie Mirah;23767;Babah Rot
Tuguwai;98732;Aweida
Kadumekar;41151;Babakancikao
Tuguwai Moma;98732;Aweida
Lhok Gayo;23767;Babah Rot
Marancang (Maracang);41151;Babakancikao
Ambakiang (Ambakiyang);71664;Awayan
Mulyamekar;41151;Babakancikao
Pante Cermin;23767;Babah Rot
Awayan;71664;Awayan
Babakan Madang;16810;Babakan Madang
Awayan Hilir;71664;Awayan
Bojong Koneng;16810;Babakan Madang
Pante Rakyat;23767;Babah Rot
Badalungga;71664;Awayan
Cijayanti;16810;Babakan Madang
Cipambuan;16810;Babakan Madang
Rukoen Dame;23767;Babah Rot
Citaringgul;16810;Babakan Madang
Simpang Gadeng;23767;Babah Rot
Kadumanggu (Kadumangu);16810;Babakan Madang
Karangtengah (Karang Tengah);16810;Babakan Madang
Teladan Jaya;23767;Babah Rot
Babadan;63491;Babadan
Bareng;63491;Babadan
Badalungga Hilir;71664;Awayan
Cekok;63491;Babadan
Baramban;71664;Awayan
Tulamalae;85714;Atambua Barat
Baru;71664;Awayan
Gupolo;63491;Babadan
Umanen;85713;Atambua Barat
Bihara;71664;Awayan
Atakera (Atakore);86685;Atadei
Japan;63491;Babadan
Dori Pewut;86685;Atadei
Astanajapura;45181;Astanajapura
Kadipaten;63491;Babadan
Dulir;86685;Atadei
Kertosari;63491;Babadan
Buntet;45181;Astanajapura
Japura Bakti (Japurabakti);45181;Astanajapura
Lembah;63491;Babadan
Ile Kerbau;86685;Atadei
Japura Kidul;45181;Astanajapura
Ngunut;63491;Babadan
Ile Kimok;86685;Atadei
Patihan Wetan;63491;Babadan
Kanci;45181;Astanajapura
Bihara Hilir;71664;Awayan
Kanci Kulon;45181;Astanajapura
Kedondong;71664;Awayan
Polorejo;63491;Babadan
Katakeja;86685;Atadei
Merah;71664;Awayan
Pondok;63491;Babadan
Kendal;45181;Astanajapura
Muara Jaya;71664;Awayan
Mertapada Kulon;45181;Astanajapura
Nungka;71664;Awayan
Purwosari;63491;Babadan
Lebaata;86685;Atadei
Pematang;71664;Awayan
Mertapada Wetan;45181;Astanajapura
Piyait;71664;Awayan
Sukosari;63491;Babadan
Lerek;86685;Atadei
Pudak;71664;Awayan
Munjul;45181;Astanajapura
Trisono;63491;Babadan
Pulantan;71664;Awayan
Sidamulya;45181;Astanajapura
Putat Basiun;71664;Awayan
Baamang Barat;74312;Baamang
Lewogroma;86685;Atadei
Sei\/Sungai Pumpung;71664;Awayan
Cibadak;40241;Astana Anyar
Sikontan;71664;Awayan
Lusilame;86685;Atadei
Baamang Hilir;74311;Baamang
Tangalin;71664;Awayan
Karanganyar;40241;Astana Anyar
Karasak;40243;Astana Anyar
Tundakan;71664;Awayan
Baamang Hulu;74313;Baamang
Nogo Doni;86685;Atadei
Tundi;71664;Awayan
Abbanuang;92776;Awangpone
Nyengseret;40242;Astana Anyar
Baamang Tengah;74312;Baamang
Awolagading (Awo Lagading);92776;Awangpone
Panjunan;40242;Astana Anyar
Bulumpare'e (Bulumparee);92776;Awangpone
Nuba Atalojo;86685;Atadei
Tanah Mas;74312;Baamang
Cakkebone (Cakke Bone);92776;Awangpone
Pelindung Hewan;40243;Astana Anyar
Carebbu;92776;Awangpone
Nubaboli;86685;Atadei
Tinduk;74316;Baamang
Carigading (Cari Gading);92776;Awangpone
Astambul Kota (Astambul);70670;Astambul
Anitila;99573;Ayumnati
Cumpiga;92776;Awangpone
Astambul Seberang;70670;Astambul
Jaling;92776;Awangpone
Benua Anyar Danau Salak;70670;Astambul
Bogogunik;99573;Ayumnati
Nubahaeraka;86685;Atadei
Kading;92776;Awangpone
Benua Anyar Sungai Tuan;70670;Astambul
Kajuara;92776;Awangpone
Luagame;99573;Ayumnati
Tubukrajan (Tubuk Rajan);86685;Atadei
Lappoase (Lappo Ase);92776;Awangpone
Danau Salak;70670;Astambul
Lubutini;99573;Ayumnati
Lattekko (Lettekko);92776;Awangpone
Jati Baru (Jati);70670;Astambul
Maccope;92776;Awangpone
Ainamsato;99782;Aswi
Nanim;99573;Ayumnati
Mallari;92776;Awangpone
Kaliukan;70670;Astambul
Mappalo Ulaweng;92776;Awangpone
Nindonak;99573;Ayumnati
Kelampaian Ilir;70670;Astambul
Matuju;92776;Awangpone
Akan Tapak;99782;Aswi
Paccing;92776;Awangpone
Tikome;99573;Ayumnati
Dolok Nauli;24675;Babul Rahmah
Unra;92776;Awangpone
Kelampaian Tengah;70670;Astambul
Tikoyowa;99573;Ayumnati
Ampari;73681;Awang
Amaita;99782;Aswi
Apar Batu;73681;Awang
Kelampaian Ulu (Kalampayan Ulu);70670;Astambul
Wanggunom;99573;Ayumnati
Bangkirayen;73681;Awang
Khambung Tumbung (Khambung Tubung);24675;Babul Rahmah
Biwan;73681;Awang
Limamar;70670;Astambul
Comoro;99776;Ayip
Bae;59327;Bae
Kuta\/Kute Lang-Lang;24675;Babul Rahmah
Ero Airo;99776;Ayip
Bagair;99782;Aswi
Lok Gabang (Lokgabang);70670;Astambul
Kawet;99776;Ayip
Lawe Malum;24675;Babul Rahmah
Bawos;99782;Aswi
Mausi;99776;Ayip
Minggu Raya (Munggu Raya);70670;Astambul
Lawe Sumur;24675;Babul Rahmah
Sato Yod;99776;Ayip
Pasar Jati;70670;Astambul
Tamor;99776;Ayip
Kagas;99782;Aswi
Lingga Alas (Lingge Alas);24675;Babul Rahmah
Abidon;98461;Ayau
Pematang Hambawang;70670;Astambul
Danau;73681;Awang
Lumban Sitio-Tio;24675;Babul Rahmah
Meosbekwan;98461;Ayau
Dersalam;59321;Bae
Mapane;99782;Aswi
Gondangmanis;59327;Bae
Pingaran (Pingaran Ilir);70670;Astambul
Reni;98461;Ayau
Hayaping;73681;Awang
Lumban Tua;24675;Babul Rahmah
Rutum;98461;Ayau
Pingaran Ulu;70670;Astambul
Piramat;99782;Aswi
Meranti;24675;Babul Rahmah
Frabo;98249;Ayamaru Utara Timur
Sei\/Sungai Alat;70670;Astambul
Karfa;98249;Ayamaru Utara Timur
Mutiara Damai;24675;Babul Rahmah
Tauro;99782;Aswi
Kona;98249;Ayamaru Utara Timur
Sei\/Sungai Tuan Ilir;70670;Astambul
Kosah;98249;Ayamaru Utara Timur
Pardamaian (Perdamean);24675;Babul Rahmah
Sei\/Sungai Tuan Ulu;70670;Astambul
Mapura;98249;Ayamaru Utara Timur
Penguhapan;24675;Babul Rahmah
Wiyar;99782;Aswi
Suwiam;98249;Ayamaru Utara Timur
Tambak Danau;70670;Astambul
Tomase;98249;Ayamaru Utara Timur
Pinggan Mbelang;24675;Babul Rahmah
Tambangan;70670;Astambul
Arne;98248;Ayamaru Utara
Salim Pipit;24675;Babul Rahmah
Aboge;99874;Assue
Arne Timur;98248;Ayamaru Utara
Sepekhinding;24675;Babul Rahmah
Asaren (Assaren);99874;Assue
Karangbener;59323;Bae
Aus Tiwit;98248;Ayamaru Utara
Sigai Indah;24675;Babul Rahmah
Janah Jari;73681;Awang
Chanani (Khanami);99874;Assue
Ngembalrejo;59322;Bae
Sumukh Alas;24675;Babul Rahmah
Panjang;59326;Bae
Eci;99874;Assue
Janah Mansiwui;73681;Awang
Tanoh Subukh;24675;Babul Rahmah
Pedawang;59324;Bae
Girimio;99874;Assue
Peganjaran;59327;Bae
Pianggu;73681;Awang
Purworejo;59327;Bae
Hohoyor;98248;Ayamaru Utara
Aek Horsik;22654;Badiri
Tangkan;73681;Awang
Johafah;98248;Ayamaru Utara
Gunung Kelambu;22654;Badiri
Hutabalang;22654;Badiri
Karetubun;98248;Ayamaru Utara
Wungkur Nanakan;73681;Awang
Jago Jago;22654;Badiri
Kfaa;98248;Ayamaru Utara
Titi Hakhapen (Titai Hakhapen);24675;Babul Rahmah
Awan;91854;Awan Rante Karua
Haffo;99874;Assue
Nauwita;98248;Ayamaru Utara
Kebun Pisang;22654;Badiri
Titi Mas;24675;Babul Rahmah
Lopian;22654;Badiri
Homang;99874;Assue
Serma;98248;Ayamaru Utara
Marlasi;97660;Aru Utara
Tuah Mesade;24675;Babul Rahmah
Setta;98248;Ayamaru Utara
Isage;99874;Assue
Yubiah;98248;Ayamaru Utara
Tuhi Jongkat;24675;Babul Rahmah
Batu Lotong;91854;Awan Rante Karua
Jufo Besar;99874;Assue
Lubuk Ampolu;22654;Badiri
Yukase;98248;Ayamaru Utara
Pagaran Honas;22654;Badiri
Buntu Karua;91854;Awan Rante Karua
Faitwosur\/Angkasa Pura;98247;Ayamaru Timur Selatan
Sitardas;22654;Badiri
Mesidang;97660;Aru Utara
Londong Biang;91854;Awan Rante Karua
Isusu;98247;Ayamaru Timur Selatan
Ukekh Deleng;24675;Babul Rahmah
Badegan;63455;Badegan
Jufo Kecil;99874;Assue
Bandaralim;63455;Badegan
Kambuifa;98247;Ayamaru Timur Selatan
Uning Sigugur;24675;Babul Rahmah
Aur Kuning;26131;Aur Birugo Tigo Baleh
Selmona;97660;Aru Utara
Kambuskato;98247;Ayamaru Timur Selatan
Biting;63455;Badegan
Cinta Damai;24673;Babul Makmur
Dayakan;63455;Badegan
Kaitok;99874;Assue
Kambuskato Utara;98247;Ayamaru Timur Selatan
Belakang Balok;26136;Aur Birugo Tigo Baleh
Cinta Makmur;24673;Babul Makmur
Kapuran;63455;Badegan
Mano;98247;Ayamaru Timur Selatan
Keru;99874;Assue
Karangan;63455;Badegan
Tasinwaha (Tasin Waha);97660;Aru Utara
Sipat;98247;Ayamaru Timur Selatan
Birugo;26138;Aur Birugo Tigo Baleh
Kute Bakti;24673;Babul Makmur
Karangjoho;63455;Badegan
Khabu;99874;Assue
Faitmajin;98246;Ayamaru Timur
Kubu Tanjung;26133;Aur Birugo Tigo Baleh
Kute Makmur;24673;Babul Makmur
Tanjunggunung (Tanjung Gunung);63455;Badegan
Faitsiur;98246;Ayamaru Timur
Wahangula-Ngula (Wahangulangula);97660;Aru Utara
Tanjungrejo;63455;Badegan
Kiki;99874;Assue
Ladang Cakiah;26135;Aur Birugo Tigo Baleh
Huberita;98246;Ayamaru Timur
Lawe Desky Jaya;24673;Babul Makmur
Watubonang;63455;Badegan
Kopi;99874;Assue
Insas;98246;Ayamaru Timur
Lawe Desky Sabas;24673;Babul Makmur
Wahayum \/ Wahayun;97660;Aru Utara
Ismayo (Ismayu);98246;Ayamaru Timur
Meda;99874;Assue
Kambuaya;98246;Ayamaru Timur
Lawe Desky Tongah;24673;Babul Makmur
Sigare;99874;Assue
Keyum;98246;Ayamaru Timur
Pakan Labuh\/Labuah;26134;Aur Birugo Tigo Baleh
Warialau;97660;Aru Utara
Lawe Desky\/Deski I;24673;Babul Makmur
Sefayit;98246;Ayamaru Timur
Air Batu Buding (Air Batu);33451;Badau
Yame;99874;Assue
Dolok Parmonangan;21184;Bandar Huluan
Parit Rantang (Parit Antang);26132;Aur Birugo Tigo Baleh
Bawy;98245;Ayamaru Tengah
Lawe Mantik;24673;Babul Makmur
Badau;33451;Badau
Balatan;97665;Aru Tengah Timur
Kedungjambangan;62364;Bangilan
Sapiran;26137;Aur Birugo Tigo Baleh
Bihe;96221;Asparaga
Fiane;98245;Ayamaru Tengah
Badau;78767;Badau
Lawe Tawakh;24673;Babul Makmur
Laras;21184;Bandar Huluan
Cerucuk;33451;Badau
Hufioh;98245;Ayamaru Tengah
Bontula (Bontulo);96221;Asparaga
Atu Lintang;24563;Atu Lintang
Nglampir;66274;Bandung
Basada;97665;Aru Tengah Timur
Isme;98245;Ayamaru Tengah
Ibul;33451;Badau
Muara Setia;24673;Babul Makmur
Kedungmulyo;62364;Bangilan
Janting;78767;Badau
Muara Situlen;24673;Babul Makmur
Kartapura;98245;Ayamaru Tengah
Bululi;96221;Asparaga
Bintang Kekelip;24563;Atu Lintang
Naga Jaya I;21184;Bandar Huluan
Dosinamalau;97665;Aru Tengah Timur
Men;98245;Ayamaru Tengah
Kacang Butor (Kacang Botor);33451;Badau
Pardamean;24673;Babul Makmur
Damar Mulyo (Damar Mulia);24563;Atu Lintang
Rindu;98245;Ayamaru Tengah
Klakeh;62364;Bangilan
Karya Baru;96221;Asparaga
Gayo Murni;24563;Atu Lintang
Pardamean;24673;Babul Makmur
Semu;98245;Ayamaru Tengah
Ngunggahan;66274;Bandung
Kepala Akal;24563;Atu Lintang
Kaiwabar;97665;Aru Tengah Timur
Karya Indah;96221;Asparaga
Tut;98245;Ayamaru Tengah
Naga Jaya II;21184;Bandar Huluan
Pardomuan I;24673;Babul Makmur
Yohwer;98245;Ayamaru Tengah
Kumpulrejo;62364;Bangilan
Mohiyolo;96221;Asparaga
Pardomuan II;24673;Babul Makmur
Arus;98244;Ayamaru Selatan Jaya
Karawai (Karawain);97665;Aru Tengah Timur
Kekurak;78767;Badau
Asses;98244;Ayamaru Selatan Jaya
Olimohulo;96221;Asparaga
Merah Jernang;24563;Atu Lintang
Pintu Alas;24673;Babul Makmur
Fait Nigre (Fait Nggre);98244;Ayamaru Selatan Jaya
Pegantungan;33451;Badau
Kobror;97665;Aru Tengah Timur
Faitsimar;98244;Ayamaru Selatan Jaya
Pangahu;96221;Asparaga
Pulau Majang;78767;Badau
Sabilussalam (Sibulussalam);24673;Babul Makmur
Merah Mege;24563;Atu Lintang
Isnum;98244;Ayamaru Selatan Jaya
Prima;96221;Asparaga
Sebindang;78767;Badau
Sejahtera;24673;Babul Makmur
Kofait;98244;Ayamaru Selatan Jaya
Semuntik;78767;Badau
Koijabi;97665;Aru Tengah Timur
Merah Muyang\/Mayang;24563;Atu Lintang
Sufu;98244;Ayamaru Selatan Jaya
Sejahtera Baru;24673;Babul Makmur
Naga Soppa;21184;Bandar Huluan
Seriang;78767;Badau
Tiohu;96221;Asparaga
Hawioh;98243;Ayamaru Selatan
Merah Pupuk;24563;Atu Lintang
Tanoh Alas;24673;Babul Makmur
Pangawinan;42176;Bandung
Sungai Samak;33451;Badau
Air Garam;99502;Asotipo
Kanisabar;98243;Ayamaru Selatan
Tajum;78767;Badau
Ngrojo;62364;Bangilan
Lola;97665;Aru Tengah Timur
Amutu;98132;Babo
Pantan Damar;24563;Atu Lintang
Koma Koma;98243;Ayamaru Selatan
Tanjung Hataran;21184;Bandar Huluan
Asotipo;99502;Asotipo
Tinting Seligi;78767;Badau
Lemauk Klit;98243;Ayamaru Selatan
Sidodadi;62364;Bangilan
Badas;64221;Badas
Sagrim;98243;Ayamaru Selatan
Tanoh Abu;24563;Atu Lintang
Penamping (Panamping);42176;Bandung
Mariri;97665;Aru Tengah Timur
Blaru;64219;Badas
Saneh (Seneh);98243;Ayamaru Selatan
Irarutu III;98132;Babo
Adan;24188;Bandar Dua
Amanamkai;99775;Atsj (Atsy)
Heberima;99502;Asotipo
Sauf;98243;Ayamaru Selatan
Bringin;64224;Badas
Kasira;98132;Babo
Sidokumpul;62364;Bangilan
Canggu;64217;Badas
Ponom;97665;Aru Tengah Timur
Sembaro;98243;Ayamaru Selatan
Ambisu;99775;Atsj (Atsy)
Nusei;98132;Babo
Alue Ketapang (Alue Keutapang);24188;Bandar Dua
Sfarare;98243;Ayamaru Selatan
Babirik Hilir;71454;Babirik
Pringwulung;42176;Bandung
Wailay;97665;Aru Tengah Timur
Simiyah;98243;Ayamaru Selatan
Babirik Hulu;71454;Babirik
Sidotentrem;62364;Bangilan
Adoh;98242;Ayamaru Jaya
Warjukur;97665;Aru Tengah Timur
Alue Mee (Alue Me);24188;Bandar Dua
Hambuku Baru;71454;Babirik
Orain;98242;Ayamaru Jaya
Krecek;64218;Badas
Hambuku Hilir;71454;Babirik
Weden;62364;Bangilan
Lamong;64216;Badas
Warloy;97665;Aru Tengah Timur
Orsu;98242;Ayamaru Jaya
Atsj;99775;Atsj (Atsy)
Hambuku Lima;71454;Babirik
Sebalor;66274;Bandung
Sekoto;64223;Badas
Kalumpang Dalam;71454;Babirik
Rawas;98242;Ayamaru Jaya
Tunglur;64222;Badas
Alue Sane;24188;Bandar Dua
Segior;98242;Ayamaru Jaya
Bakasai;99775;Atsj (Atsy)
Bendomungal (Bendo Mungal);67153;Bangil
Badar Indah;24666;Badar
Soan;98242;Ayamaru Jaya
Asan Kumbang;24188;Bandar Dua
Bine;99775;Atsj (Atsy)
Sosian;98242;Ayamaru Jaya
Batu Mbekhong (Batu Mberong);24666;Badar
Singgit;66274;Bandung
Temel;98242;Ayamaru Jaya
Deleng Megakhe;24666;Badar
Apara;97669;Aru Tengah Selatan
Dermo;67153;Bangil
Bipim;99775;Atsj (Atsy)
Kalumpang Luar;71454;Babirik
Warbo;98242;Ayamaru Jaya
Kampung Baru;24666;Badar
Hitigima;99502;Asotipo
Babah Krueng;24188;Bandar Dua
Kumbang Indah;24666;Badar
Bemun;97669;Aru Tengah Selatan
Murung Kupang;71454;Babirik
Cewewyamew;99775;Atsj (Atsy)
Gempeng;67153;Bangil
Hukulimo;99502;Asotipo
Kumbang Jaya;24666;Badar
Murung Panti Hilir;71454;Babirik
Sogoni;99775;Atsj (Atsy)
Beurasan;24188;Bandar Dua
Iwigima;99502;Asotipo
Kuta\/Kute Pasir;24666;Badar
Gomo Gomo;97669;Aru Tengah Selatan
Woman;98242;Ayamaru Jaya
Soko;66274;Bandung
Kuta\/Kute Tinggi;24666;Badar
Murung Panti Hulu;71454;Babirik
Chaliat;98241;Ayamaru Barat
Yasiuw;99775;Atsj (Atsy)
Kuantapo;99502;Asotipo
Kalianyar;67153;Bangil
Lawe Bekung;24666;Badar
Fanse;98241;Ayamaru Barat
Blang Dalam;24188;Bandar Dua
Sehu;98241;Ayamaru Barat
Kalirejo;67153;Bangil
Sfacko;98241;Ayamaru Barat
Lawe Bekung Tampahan;24666;Badar
Sukoharjo;66274;Bandung
Sfaraka (Sfakraka);98241;Ayamaru Barat
Bintana;96516;Atinggola
Blang Kuta;24188;Bandar Dua
Lawe Sekerah (Lawe Sekekhah);24666;Badar
Sien;98241;Ayamaru Barat
Natam;24666;Badar
Kauman;67153;Bangil
Buata;96516;Atinggola
Soroan (Sorowan);98241;Ayamaru Barat
Pajukungan Hilir;71454;Babirik
Blang Miroe (Blang Mirou);24188;Bandar Dua
Natam Baru;24666;Badar
Pobiatma;99502;Asotipo
Tbo;98241;Ayamaru Barat
Jambu Air;97669;Aru Tengah Selatan
Suruhan Kidul;66274;Bandung
Afes;98240;Ayamaru
Pajukungan Hulu;71454;Babirik
Putageima (Putagaima);99502;Asotipo
Kersikan;67153;Bangil
Ayamaru;98240;Ayamaru
Parupukan;71454;Babirik
Peranginan;24666;Badar
Cot Geurefai (Cot Geurufai);24188;Bandar Dua
Sogokmo (Sogomo);99502;Asotipo
Fraharo;98240;Ayamaru
Iloheluma;96516;Atinggola
Sungai Dalam;71454;Babirik
Purwodadi;24666;Badar
Framu;98240;Ayamaru
Kiduldalem (Kidul Dalem);67153;Bangil
Asolokobal;99501;Asolokobal
Salang Alas;24666;Badar
Sungai Durait Hilir;71454;Babirik
Mefkajim II;98240;Ayamaru
Suruhan Lor;66274;Bandung
Imana;96516;Atinggola
Asotapo;99501;Asolokobal
Smusswioh (Smusuwioh);98240;Ayamaru
Cot Keng;24188;Bandar Dua
Tanah Merah;24666;Badar
Tuso;98240;Ayamaru
Kolursari;67153;Bangil
Inomata (Ilomata);96516;Atinggola
Twer;98240;Ayamaru
Drien Bungong;24188;Bandar Dua
Tanoh Megakhe;24666;Badar
Bumi Harapan;91121;Bacukiki Barat
Suwaru;66274;Bandung
Argopeni;54473;Ayah
Kotajin (Kota Jin);96516;Atinggola
Latek;67153;Bangil
Argosari;54473;Ayah
Cappa Galung (Cappagalung);91122;Bacukiki Barat
Sungai Durait Hulu;71454;Babirik
Kotajin Utara;96516;Atinggola
Drien Tujoh;24188;Bandar Dua
Helaluwa;99501;Asolokobal
Kampung Baru;91121;Bacukiki Barat
Sungai Durait Tengah;71454;Babirik
Manaruwi;67153;Bangil
Hesatom;99501;Asolokobal
Sungai Jamjam;71454;Babirik
Talun Kulon (Talunkulon);66274;Bandung
Mulinekama;99501;Asolokobal
Gahru (Gaharu);24188;Bandar Dua
Masangan;67153;Bangil
Ayah;54473;Ayah
Gampong Baro (Kampung Baro);24188;Bandar Dua
Lumpue;91123;Bacukiki Barat
Banjararjo;54473;Ayah
Sumpang Minangae;91121;Bacukiki Barat
Bandongan;56151;Bandongan
Sungai Luang Hilir;71454;Babirik
Bulurejo;54473;Ayah
Monggupo;96516;Atinggola
Ninabua;99501;Asolokobal
Pogar;67153;Bangil
Tiro Sompe;91125;Bacukiki Barat
Sungai Luang Hulu;71454;Babirik
Candirenggo;54473;Ayah
Oluhuta;96516;Atinggola
Sinata;99501;Asolokobal
Gampong Ulee Gle (Gampong Ulee Glee);24188;Bandar Dua
Galung Maloang;91121;Bacukiki
Demangsari;54473;Ayah
Longgar;97669;Aru Tengah Selatan
Lemoe;91121;Bacukiki
Raci;67153;Bangil
Sungai Nyiur;71454;Babirik
Jatijajar;54473;Ayah
Pinontoyonga;96516;Atinggola
Wiaima;99501;Asolokobal
Jaulanga Barat (Jeulanga Barat);24188;Bandar Dua
Lompoe;91125;Bacukiki
Jintung;54473;Ayah
Sungai Papuyu;71454;Babirik
WT. Bacukiki (Wattang Bacukiki);91121;Bacukiki
Mesiang;97669;Aru Tengah Selatan
Banyuwangi;56151;Bandongan
Kalibangkang;54473;Ayah
Posono;96516;Atinggola
Yapema;99501;Asolokobal
Tambakan;67153;Bangil
Kalipoh;54473;Ayah
Teluk Limbung;71454;Babirik
Bibinoi;97791;Bacan Timur Tengah
Araboda;99531;Asologaima
Songa;97791;Bacan Timur Tengah
Karangduwur;54473;Ayah
Warabal;97669;Aru Tengah Selatan
Sigaso;96516;Atinggola
Babelankota (Babelan Kota);17610;Babelan
Tabapoma;97791;Bacan Timur Tengah
Kedungweru;54473;Ayah
Kimbin (Kimbim);99531;Asologaima
Tombulilato;96516;Atinggola
Mangunweni;54473;Ayah
Bahagia;17610;Babelan
Tawa;97791;Bacan Timur Tengah
Kombagwe;99531;Asologaima
Pasir;54473;Ayah
Tomara;97791;Bacan Timur Tengah
Algadang;97661;Aru Tengah
Wapalo;96516;Atinggola
Srati;54473;Ayah
Bunibakti (Buni Bakti);17610;Babelan
Tutupa;97791;Bacan Timur Tengah
Logotpaga;99531;Asologaima
Tlogosari;54473;Ayah
Wayatim;97791;Bacan Timur Tengah
Jeulanga Mata Ie;24188;Bandar Dua
Hurip Jaya;17610;Babelan
Loki;99531;Asologaima
Fatukbot;85717;Atambua Selatan
Watukelir;54473;Ayah
Bone Baru;94896;Banggai Utara
Benjina;97661;Aru Tengah
Liaro;97791;Bacan Timur Selatan
Kebalen;17610;Babelan
Gandusari;56151;Bandongan
Lidak;85716;Atambua Selatan
Sagare;99776;Awyu
Manuaman;85718;Atambua Selatan
Jeulanga Mesjid;24188;Bandar Dua
Sohomane;99771;Awyu
Rinbesi;85718;Atambua Selatan
Kendek;94896;Banggai Utara
Pigaraja;97791;Bacan Timur Selatan
Suagai;99771;Awyu
Bardao (Berdao);85715;Atambua Barat
Wagi;99776;Awyu
Keude Ulee Gle (Keude Ulee Glee);24188;Bandar Dua
Silang;97791;Bacan Timur Selatan
Yefuwagi;99776;Awyu
Tabajaya;97791;Bacan Timur Selatan
Kalegen;56151;Bandongan
Miligatnem;99531;Asologaima
Beirafu;85718;Atambua Barat
Yerfum;99771;Awyu
Lokotoy (Lokotoi);94896;Banggai Utara
Kedung Pengawas;17610;Babelan
Fatlabata;97661;Aru Tengah
Awinbon;99431;Awinbon
Krueng Kiran;24188;Bandar Dua
