kecamatan;kabupaten
Klakah;Lumajang
Kumpeh;Muaro Jambi
Air Batu;Asahan
Kuala;Langkat
Latambaga;Kolaka
Ambulu;Jember
Lampihong;Balangan
Kumpeh Ulu;Muaro Jambi
Latimojong;Luwu
Kaur Tengah;Kaur
Masbagik;Lombok Timur
Latoma;Konawe
Klambu;Grobogan
Luak (Luhak);Lima Puluh Kota
Lau;Maros
Klamono;Sorong
Kumun Debai;Sungai Penuh
Masirei;Waropen
Kaur Utara;Kaur
Laubaleng;Karo
Luas;Kaur
Kuala;Bireuen
Laung Tuhup;Murung Raya
Kutalimbaru;Deli Serdang
Lamposi Tigo Nagori / Nagari;Payakumbuh
Kundur;Karimun
Masni;Manokwari
Kuala;Nagan Raya
Laut Tador;Batu Bara
Lamuru;Bone
Masyeta;Teluk Bintuni
Kundur Barat;Karimun
Kuala Baru;Aceh Singkil
Kundur Utara;Karimun
Lubai;Muara Enim
Klampis;Bangkalan
Laut Tawar (Lut Tawar);Aceh Tengah
Kutambaru;Langkat
Landasan Ulin;Banjarbaru
Kunduran;Blora
Mata Oleo;Bombana
Kaureh;Jayapura
Lawa;Muna Barat
Kuala Batee;Aceh Barat Daya
Kuningan;Kuningan
Klangenan;Cirebon
Lawang;Malang
Landawe;Konawe Utara
Lubai Ulu;Muara Enim
Kunir;Lumajang
Kawagit;Boven Digoel
Lawang Kidul;Muara Enim
Mata Usu;Bombana
Klapanunggal;Bogor
Kunjang;Kediri
Kutapanjang (Kuta Panjang);Gayo Lues
Kuala Behe;Landak
Lawang Wetan;Musi Banyuasin
Matakali;Polewali Mandar
Landono;Konawe Selatan
Lawe Alas;Aceh Tenggara
Lubuak Tarok;Sijunjung
Kawali;Ciamis
Lawe Bulan;Aceh Tenggara
Kutasari;Purbalingga
Lawe Sigala Gala;Aceh Tenggara
Matan Hilir Selatan;Ketapang
Kunto Darussalam;Rokan Hulu
Batudaa Pantai;Gorontalo
Lawe Sumur;Aceh Tenggara
Lubuk Alung;Padang Pariaman
Air Besar;Landak
Kuok;Kampar
Matan Hilir Utara;Ketapang
Laweyan;Surakarta
Kutawaluya;Karawang
Ambunten;Sumenep
Kupang Barat;Kupang
Matangkuli;Aceh Utara
Lea-Lea;Bau Bau
Air Besi;Bengkulu Utara
Lembak;Muara Enim
Kupang Tengah;Kupang
Kuala Betara;Tanjung Jabung Barat
Amen;Lebong
Lubuk Baja;Batam
Lebak Wangi;Serang
Air Buaya (Airbuaya);Buru
Kawalu;Tasikmalaya
Kupang Timur;Kupang
Matangnga;Polewali Mandar
Air Dikit;Muko Muko
Landu Leko;Rote Ndao
Lebakbarang;Pekalongan
Kutawaringin;Bandung
Amfoang Barat Daya;Kupang
Kupitan;Sijunjung
Kebayakan;Aceh Tengah
Air Hangat;Kerinci
Lubuk Barumun;Padang Lawas
Batudaka;Tojo Una Una
Lebakgedong;Lebak
Mataram;Mataram
Batui;Banggai
Lembang;Pinrang
Kawangkoan;Minahasa
Kute Panang;Aceh Tengah
Langda;Yahukimo
Mataram Baru;Lampung Timur
Klari;Karawang
Batui Selatan;Banggai
Lubuk Basung;Agam
Langensari;Banjar
Kebayoran Baru;Jakarta Selatan
Amfoang Barat Laut;Kupang
Mataraman;Banjar
Kuala Cenaku;Indragiri Hulu
Kur Selatan;Tual
Air Hangat Barat;Kerinci
Klasafet;Sorong
Kute Siantan;Kepulauan Anambas
Lebaksiu;Tegal
Amfoang Selatan;Kupang
Klaso;Sorong
Lubuk Batang;Ogan Komering Ulu
Kebayoran Lama;Jakarta Selatan
Air Hangat Timur;Kerinci
Kuala Indragiri;Indragiri Hilir
Kuranji;Tanah Bumbu
Air Hitam;Sarolangun
Mataru;Alor
Langgam;Pelalawan
Lebakwangi;Kuningan
Matawai La Pawu (Lappau);Sumba Timur
Kebo;Paniai
Kawangkoan Barat;Minahasa
Lebatukan;Lembata
Lubuk Batu Jaya;Indragiri Hulu
Klaten Selatan;Klaten
Kuranji;Padang
Matemani;Sorong Selatan
Kuala Jambi;Tanjung Jabung Timur
Lebong Atas;Lebong
Lembang;Bandung Barat
Kokoda Utara;Sorong Selatan
Lubuk Begalung;Padang
Amfoang Tengah;Kupang
Matesih;Karanganyar
Air Hitam;Lampung Barat
Kawangkoan Utara;Minahasa
Matraman;Jakarta Timur
Klaten Tengah;Klaten
Kutoarjo;Purworejo
Klaten Utara;Klaten
Air Joman;Asahan
Lembang Jaya;Solok
Kaway XVI;Aceh Barat
Lebong Sakti;Lebong
Amfoang Timur;Kupang
Mattiro Bulu;Pinrang
Kuala Kampar;Pelalawan
Kokop;Bangkalan
Air Kumbang;Banyuasin
Klaurung;Sorong
Kebomas;Gresik
Mattiro Sompe (Matirro Sompe);Pinrang
Kuala Kencana;Mimika
Kolaka;Kolaka
Lembar;Lombok Barat
Lebong Selatan;Lebong
Klawak;Sorong
Matuari (Bitung Barat);Bitung
Kolang;Tapanuli Tengah
Kutorejo;Mojokerto
Kolawa;Lanny Jaya
Lembean Timur;Minahasa
Lebong Tengah;Lebong
Kuala Mandor B;Kubu Raya
Kolbano;Timor Tengah Selatan
Matur;Agam
Kawedanan;Magetan
Lebong Utara;Lebong
Kutowinangun;Kebumen
Kolf Braza;Asmat
Miyah Selatan;Tambrauw
Maudus;Sorong
Kolono;Konawe Selatan
Mempawah Timur;Mempawah
Klayili;Sorong
Leces;Probolinggo
Lembeh Selatan (Bitung Selatan);Bitung
Madiun;Madiun
Langgikima;Konawe Utara
Lede;Pulau Taliabu
Mlandingan;Situbondo
Mauk;Tangerang
Kawor;Pegunungan Bintang
Ledo;Bengkayang
Mempura;Siak
Kuwarasan;Kebumen
Kledung;Temanggung
Ledokombo;Jember
Madukara;Banjarnegara
Klego;Boyolali
Lembeh Utara;Bitung
Legok;Tangerang
Mlarak;Ponorogo
Kawunganten;Cilacap
Loa Kulu;Kutai Kartanegara
Maukaro;Ende
Maduran;Lamongan
Legonkulon;Subang
Langgudu;Bima
Mlati;Sleman
Lubuk Besar;Bangka Tengah
Mantangai;Kapuas
Mendahara;Tanjung Jabung Timur
Kuwus;Manggarai Barat
Loaholu;Rote Ndao
Leihitu;Maluku Tengah
Maulafa;Kupang
Kuala Pesisir;Nagan Raya
Mantewe;Tanah Bumbu
Lembeyan;Magetan
Leihitu Barat;Maluku Tengah
Kayan Hilir;Sintang
Lubuk Dalam;Siak
Loano;Purworejo
Langkahan;Aceh Utara
Lobalain;Rote Ndao
Mauponggo;Nagekeo
Leitimur Selatan;Ambon
Kualin;Timor Tengah Selatan
Kuwus Barat;Manggarai Barat
Mantikulore;Palu
Maesa;Bitung
Lobu;Banggai
Lembo;Morowali Utara
Mlonggo;Jepara
Lekok;Pasuruan
Lhoong;Aceh Besar
Kayan Hilir;Malinau
Loceret;Nganjuk
Mendahara Ulu;Tanjung Jabung Timur
Klirong;Kebumen
Moa (Moa Lakor);Maluku Barat Daya
Mantingan;Ngawi
Kayan Hulu;Sintang
Mendawai;Katingan
Mantoh;Banggai
Langkaplancar;Pangandaran
Li Anogomma;Tolikara
Loea;Kolaka Timur
Maurole;Ende
Leksono;Wonosobo
Mendo Barat;Bangka
Lubuk Keliat;Ogan Ilir
Mantrijeron;Yogyakarta
Moba;Nduga
Kualuh Hilir;Labuhanbatu Utara
Mantup;Lamongan
Mendoyo;Jembrana
Kuyawage;Lanny Jaya
Kayan Hulu;Malinau
Leksula;Buru Selatan
Modayag;Bolaang Mongondow Timur
Mawabuan;Tambrauw
Langkapura;Bandar Lampung
Manuhing;Gunung Mas
Liang;Banggai Kepulauan
Kualuh Hulu;Labuhanbatu Utara
Logas Tanah Darat;Kuantan Singingi
Lubuk Kilangan;Padang
Menes;Pandeglang
Manuhing Raya (Mahuning Raya);Gunung Mas
Kayan Selatan;Malinau
Modayag Barat;Bolaang Mongondow Timur
Mawasangka;Buton Tengah
Lela;Sikka
Langke Rembong;Manggarai
Menganti;Gresik
Lohbener;Indramayu
Kwadungan;Ngawi
Kualuh Leidong;Labuhanbatu Utara
Liang Anggang;Banjarbaru
Manuju;Gowa
Lubuk Linggau Barat Dua (II);Lubuk Linggau
Menggala;Tulang Bawang
Manyak Payed;Aceh Tamiang
Lelak;Manggarai
Modo;Lamongan
Mawasangka Tengah;Buton Tengah
Kualuh Selatan;Labuhanbatu Utara
Lohia;Muna
Libarek;Jayawijaya
Mawasangka Timur;Buton Tengah
Langowan Barat;Minahasa
Manyar;Gresik
Modoinding;Minahasa Selatan
Lubuk Linggau Barat Satu (I);Lubuk Linggau
Libureng;Bone
Manyaran;Wonogiri
Lokpaikat;Tapin
Lembo;Konawe Utara
Manyeuw;Maluku Tenggara
Kuanfatu;Timor Tengah Selatan
Mayamuk;Sorong
Maos;Cilacap
Kayangan;Lombok Utara
Lubuk Linggau Selatan Dua (II);Lubuk Linggau
Loksado;Hulu Sungai Selatan
Modung;Bangkalan
Langowan Selatan;Minahasa
Maospati;Magetan
Mayang;Jember
Menggala Timur;Tulang Bawang
Kuantan Hilir;Kuantan Singingi
Kwamki Narama;Mimika
Licin;Banyuwangi
Klojen;Malang
Mayangan;Probolinggo
Langowan Timur;Minahasa
Lubuk Linggau Selatan Satu (I);Lubuk Linggau
Mapanget;Manado
Kluet Selatan;Aceh Selatan
Mayong;Jepara
Lolak;Bolaang Mongondow
Langowan Utara;Minahasa
Mapat Tunggul;Pasaman
Kwandang;Gorontalo Utara
Lelea;Indramayu
Mofinop;Pegunungan Bintang
Lubuk Linggau Timur Dua (II);Lubuk Linggau
Mapat Tunggul Selatan;Pasaman
Moga;Pemalang
Kurau;Tanah Laut
Mazino;Nias Selatan
Ligung;Majalengka
Mapenduma;Nduga
Lembo Raya;Morowali Utara
Kluet Tengah;Aceh Selatan
Mengkendek;Tana Toraja
Leles;Cianjur
Mapia;Dogiyai
Moilong;Banggai
Kwanyar;Bangkalan
Kayauni;Fak Fak
Kuri;Teluk Bintuni
Maesaan;Minahasa Selatan
Kluet Timur;Aceh Selatan
Lubuk Linggau Timur Satu (I);Lubuk Linggau
Lolat;Yahukimo
Kuantan Hilir Seberang;Kuantan Singingi
Kwelamdua;Yahukimo
Mapia Barat;Dogiyai
Langsa Barat;Langsa
Mazo;Nias Selatan
Leles;Garut
Mapia Tengah;Dogiyai
Kluet Utara;Aceh Selatan
Likupang Barat;Minahasa Utara
Lubuk Linggau Utara Dua (II);Lubuk Linggau
Lolayan;Bolaang Mongondow
Kayen;Pati
Mengwi;Badung
Lembor;Manggarai Barat
Lemahabang;Cirebon
Kuantan Mudik;Kuantan Singingi
Moisegen;Sorong
Mapilli;Polewali Mandar
Mbahamdandara;Fak Fak
Langsa Baro;Langsa
Maesan;Bondowoso
Loli;Sumba Barat
Lubuk Linggau Utara Satu (I);Lubuk Linggau
Mapitara;Sikka
Menjalin;Landak
Lemahabang;Karawang
Lembor Selatan;Manggarai Barat
Kuri Wamesa;Teluk Wondama
Kayen Kidul;Kediri
Mbeliling;Manggarai Barat
Loloda;Halmahera Barat
Kayo;Yahukimo
Mappak;Tana Toraja
Lubuk Pakam;Deli Serdang
Lemahsugih;Majalengka
Mbua Tengah;Nduga
Menou;Nabire
Mappakasunggu;Takalar
Lembur;Alor
Langsa Kota;Langsa
Kurik;Merauke
Mage'abume;Puncak
Loloda Kepulauan;Halmahera Utara
Klungkung;Klungkung
Mbulmu Yalma;Nduga
Mappedeceng;Luwu Utara
Kayoa;Halmahera Selatan
Lubuk Pinang;Muko Muko
Mojo;Kediri
Koba;Bangka Tengah
Kwesefo;Tambrauw
Mentarang;Malinau
Kuantan Tengah;Kuantan Singingi
Lembursitu;Sukabumi
Loloda Tengah;Halmahera Barat
Magelang Selatan;Magelang
Langsa Lama;Langsa
Marabahan;Barito Kuala
Mbuwa;Nduga
Mojoagung;Jombang
Marancar;Tapanuli Selatan
Lubuk Raja;Ogan Komering Ulu
Loloda Utara;Halmahera Utara
Kwikma;Yahukimo
Marang (Ma Rang);Pangkajene Kepulauan
Kayoa Barat;Halmahera Selatan
Mdona Hyera (Mndona Hiera);Maluku Barat Daya
Kuari;Tolikara
Mentarang Hulu;Malinau
Lemito;Pahuwato
Lolofitu Moi;Nias Barat
Langsa Timur;Langsa
Mentawa Baru Ketapang;Kotawaringin Timur
Marang Kayu;Kutai Kartanegara
Kayoa Selatan;Halmahera Selatan
Magelang Tengah;Magelang
Lubuk Sandi;Seluma
Maratua;Berau
Mojoanyar;Mojokerto
Kuaro;Paser
Mebarok;Nduga
Likupang Selatan;Minahasa Utara
Kwoor;Tambrauw
Mentaya Hilir Selatan;Kotawaringin Timur
Magelang Utara;Magelang
Medan Amplas;Medan
Lannyna;Lanny Jaya
Mojogedang;Karanganyar
Kayoa Utara;Halmahera Selatan
Magepanda;Sikka
Mojolaban;Sukoharjo
Kuatnana;Timor Tengah Selatan
Magersari;Mojokerto
Lansirang (Lanrisang);Pinrang
Mojoroto;Kediri
Mentaya Hilir Utara;Kotawaringin Timur
Likupang Timur;Minahasa Utara
Lolomatua;Nias Selatan
Magetan;Magetan
Kubu;Tolikara
Marau;Ketapang
Mojosari;Mojokerto
Lilialy;Buru
Kurima;Yahukimo
Lantari Jaya;Bombana
Lemahwungkuk (Lemah Wungkuk);Cirebon
Maginti;Muna Barat
Kubu;Rokan Hilir
Marawola;Sigi
Mojosongo;Boyolali
Kayu Agung;Ogan Komering Ilir
Kuripan;Probolinggo
Mentaya Hulu;Kotawaringin Timur
Lolong Guba;Buru
Liliraja (Lili Riaja);Soppeng
Kubu;Karangasem
Marawola Barat;Sigi
Lantung;Sumbawa
Kayu Aro;Kerinci
Lembah Bawang;Bengkayang
Mahu;Sumba Timur
Laonti;Konawe Selatan
Kuripan;Barito Kuala
Mojotengah;Wonosobo
Marbau;Labuhanbatu Utara
Mentebah;Kapuas Hulu
Lolowau;Nias Selatan
Lilirilau (Lili Rilau);Soppeng
Lemong;Pesisir Barat
Mardingding (Mardinding);Karo
Lapandewa;Buton Selatan
Maima;Jayawijaya
Kuripan;Lombok Barat
Medan Area;Medan
Kobakma;Mamberamo Tengah
Menteng;Jakarta Pusat
Long Apari;Mahakam Ulu
Kubu;Kubu Raya
Lubuk Sikaping;Pasaman
Mojowarno;Jombang
Mare;Maybrat
Lapang;Aceh Utara
Mare;Bone
Menthobi Raya;Lamandau
Labakkang;Pangkajene Kepulauan
Kayu Aro Barat;Kerinci
Lima Kaum;Tanah Datar
Medan Barat;Medan
Mokoni;Lanny Jaya
Kobalima;Malaka
Lembah Gumanti;Solok
Lempuing;Ogan Komering Ilir
Mentok (Muntok);Bangka Barat
Kubu Babussalam;Rokan Hilir
Mare Selatan;Maybrat
Molagalome;Jayawijaya
Lubuk Sikarah;Solok
Menui Kepulauan;Morowali
Labang;Bangkalan
Marga;Tabanan
Medan Baru;Medan
Kobalima Timur;Malaka
Lembah Masurai;Merangin
Lueng Bata;Banda Aceh
Lima Puluh;Pekanbaru
Kebakkramat;Karanganyar
Marga Punduh;Pesawaran
Medan Belawan (Medan Belawan Kota);Medan
Menukung;Melawi
Kurra;Tana Toraja
Medan Deli;Medan
Marga Sakti Sebelat (Marga Sakti);Bengkulu Utara
Lembah Melintang;Pasaman Barat
Luhak Nan Duo;Pasaman Barat
Molanikime;Puncak Jaya
Long Bagun;Mahakam Ulu
Medan Denai;Medan
Lima Puluh (Limapuluh);Batu Bara
Menyuke;Landak
Medan Helvetia;Medan
Molawe;Konawe Utara
Kurulu;Jayawijaya
Lumajang;Lumajang
Mollo Barat;Timor Tengah Selatan
Marga Sekampung;Lampung Timur
Labangka;Sumbawa
Marga Tiga (Margatiga);Lampung Timur
Maiwa;Enrekang
Lembah Sabil;Aceh Barat Daya
Medan Johor;Medan
Lumar;Bengkayang
Mollo Selatan;Timor Tengah Selatan
Medan Kota;Medan
Meos Mansar;Raja Ampat
Margaasih;Bandung
Maja;Lebak
Margadana;Tegal
Lempuing Jaya;Ogan Komering Ilir
Mepanga;Parigi Moutong
Lembah Segar;Sawahlunto
Margahayu;Bandung
Lima Puluh Pesisir;Batu Bara
Margasari;Tegal
Maja;Majalengka
Labobo;Banggai Laut
Meraksa Aji;Tulang Bawang
Majalaya;Bandung
Lumban Julu;Toba
Limau;Tanggamus
Medan Labuhan;Medan
Lenangguar;Sumbawa
Majalaya;Karawang
Lembah Seulawah;Aceh Besar
Laboya Barat (Lamboya Barat);Sumba Barat
Mollo Tengah;Timor Tengah Selatan
Margo Tabir;Merangin
Medan Maimun;Medan
Limbangan;Kendal
Margomulyo;Bojonegoro
Merakurak;Tuban
Lembah Sorik Marapi;Mandailing Natal
Lumbang;Pasuruan
Majalengka;Majalengka
Medan Marelan;Medan
Mollo Utara;Timor Tengah Selatan
Lape (Lape Lopok);Sumbawa
Margorejo;Pati
Meral;Karimun
Lumbang;Probolinggo
Limboro;Polewali Mandar
Margoyoso;Pati
Kubung;Solok
Labuan;Donggala
Mariat;Sorong
Kebar;Tambrauw
Lendah;Kulon Progo
Majasari;Pandeglang
Kurun;Gunung Mas
Lappariaja;Bone
Medan Perjuangan;Medan
Meral Barat;Karimun
Kebar Selatan;Tambrauw
Molu Maru;Kepulauan Tanimbar (Maluku Tenggara Barat)
Marikit;Katingan
Larangan;Tangerang
Meranti;Asahan
Marioriawa (Mario Riawa);Soppeng
Kodeoha;Kolaka Utara
Kusambi;Muna Barat
Kebar Timur;Tambrauw
Marioriwawo (Mario Riwawo);Soppeng
Kusan Hilir;Tanah Bumbu
Marisa;Pahuwato
Mariso;Makassar
Kubutambahan;Buleleng
Lumbir;Banyumas
Maritengngae;Sidenreng Rappang
Majauleng;Wajo
Kodi;Sumba Barat Daya
Medan Petisah;Medan
Meranti;Landak
Larangan;Brebes
Labuan;Pandeglang
Momi Waren;Manokwari Selatan
Kebasen;Banyumas
Medan Polonia;Medan
Maje;Kaur
Maro Sebo;Muaro Jambi
Lumbis;Nunukan
Momunu;Buol
Maro Sebo Ilir;Batanghari
Maro Sebo Ulu;Batanghari
Kodi Balaghar;Sumba Barat Daya
Kusan Hulu;Tanah Bumbu
Kudu;Jombang
Marobo;Muna
Medan Selayang;Medan
Long Hubung;Mahakam Ulu
Kebawetan;Kepahiang
Limboto;Gorontalo
Lenek;Lombok Timur
Maron;Probolinggo
Larangan;Pamekasan
Merapi Barat;Lahat
Lumbis Hulu;Nunukan
Kusan Tengah;Tanah Bumbu
Kulawi;Sigi
Monano;Gorontalo Utara
Long Ikis;Paser
Labuan Amas Selatan;Hulu Sungai Tengah
Limboto Barat;Gorontalo
Merapi Selatan;Lahat
Moncongloe (Moncong Loe);Maros
Larantuka;Flores Timur
Merapi Timur;Lahat
Lumbis Ogong;Nunukan
Kodi Bangedo;Sumba Barat Daya
Limbur Lubuk Mengkuang;Bungo
Kulawi Selatan;Sigi
Lengayang;Pesisir Selatan
Lareh Sago Halaban;Lima Puluh Kota
Lumbis Pansiangan;Nunukan
Kodi Utara;Sumba Barat Daya
Lengkiti;Ogan Komering Ulu
Merauke;Merauke
Mondokan;Sragen
Kulim;Pekanbaru
Majenang;Cilacap
Medan Sunggal;Medan
Laren;Lamongan
Lumbok Seminung;Lampung Barat
Kofiau;Raja Ampat
Medan Tembung;Medan
Merawang;Bangka
Lengkong;Nganjuk
Limo;Depok
Medan Timur;Medan
Koja;Jakarta Utara
Merbau;Kepulauan Meranti
Lumbung;Ciamis
Lariang;Pasangkayu (Mamuju Utara)
Makale;Tana Toraja
Medan Tuntungan;Medan
Monta;Bima
Limpasu;Hulu Sungai Tengah
Lengkong;Bandung
Lumo;Puncak Jaya
Makale Selatan;Tana Toraja
Montallat (Montalat);Barito Utara
Makale Utara;Tana Toraja
Merbau Mataram;Lampung Selatan
Medang Deras;Batu Bara
Montasik (Mantasiek);Aceh Besar
Medang Kampai;Dumai
Metro Utara;Metro
Lumut;Tapanuli Tengah
Mranggen;Demak
Merdeka;Karo
Medansatria (Medan Satria);Bekasi
Meukek;Aceh Selatan
Makarti Jaya;Banyuasin
Maronge;Sumbawa
Meurah Dua;Pidie Jaya
Monterado;Bengkayang
Kuta;Badung
Mrebet;Purbalingga
Mamasa;Mamasa
Merdey;Teluk Bintuni
Muara;Tapanuli Utara
Long Iram;Kutai Barat
Limpung;Batang
Mamberamo Hilir;Mamberamo Raya
Kuta Alam;Banda Aceh
Makasar;Jakarta Timur
Meurah Mulia;Aceh Utara
Long Kali;Paser
Montong;Tuban
Muara;Lanny Jaya
Long Mesangat;Kutai Timur
Long Pahangai;Mahakam Ulu
Lirung;Kepulauan Talaud
Megaluh;Jombang
Longkib;Subulussalam
Meuraxa;Banda Aceh
Lunang;Pesisir Selatan
Muara;Puncak Jaya
Megambilis;Mamberamo Tengah
Maros Baru;Maros
Meureubo;Aceh Barat
Mimika Tengah;Mimika
Lopok;Sumbawa
Liukang Kalmas (Kalukuang Masalima);Pangkajene Kepulauan
Makassar;Makassar
Muara Ancalong;Kutai Timur
Limun;Sarolangun
Meureudu;Pidie Jaya
Montong Gading;Lombok Timur
Lungkang Kule;Kaur
Marpoyan Damai;Pekanbaru
Makbon;Sorong
Kuta Baro;Aceh Besar
Liukang Tangaya;Pangkajene Kepulauan
Martapura;Ogan Komering Ulu Timur
Mewoluk;Puncak Jaya
Muara Badak;Kutai Kartanegara
Megamendung;Bogor
Muara Bangka Hulu;Bengkulu
Lengkong;Sukabumi
Liukang Tupabbiring;Pangkajene Kepulauan
Lunyuk;Sumbawa
Lore Barat;Poso
Muara Batang Gadis;Mandailing Natal
Mimika Timur;Mimika
Martapura (Martapura Kota);Banjar
Liukang Tupabbiring Utara;Pangkajene Kepulauan
Lenteng;Sumenep
Kuta Blang;Bireuen
Meyado (Mayado);Teluk Bintuni
Luragung;Kuningan
Lore Piore;Poso
Muara Batang Toru;Tapanuli Selatan
Mimika Timur Jauh;Mimika
Miangas;Kepulauan Talaud
Lepar (Lepar Pongok);Bangka Selatan
Loa Janan;Kutai Kartanegara
Kuta Cot Glie (Kota Cot Glie);Aceh Besar
Lore Selatan;Poso
Mamberamo Hulu;Mamberamo Raya
Kuta Makmur;Aceh Utara
Muara Batu;Aceh Utara
Lore Tengah;Poso
Midai;Natuna
Kuta Malaka (Kota Malaka);Aceh Besar
Mihing Raya;Gunung Mas
Luwuk;Banggai
Lore Timur;Poso
Loa Janan Ilir;Samarinda
Minas;Siak
Mamberamo Tengah;Mamberamo Raya
Muara Belida;Muara Enim
Kuta Raja;Banda Aceh
Mamberamo Tengah Timur;Mamberamo Raya
Lepembusu Kelisoke;Ende
Lore Utara;Poso
Muara Beliti;Musi Rawas
Luwuk Selatan;Banggai
Mambi;Mamasa
Megang Sakti;Musi Rawas
Mijen;Demak
Kuta Selatan;Badung
Luwuk Timur;Banggai
Mambioman Bapai;Mappi
Losarang;Indramayu
Mijen;Semarang
Merek;Karo
Martapura Barat;Banjar
Mila;Pidie
Losari;Cirebon
Milimbo;Lanny Jaya
Martapura Timur;Banjar
Lindu;Sigi
Mimika Barat;Mimika
Marusu;Maros
Mooat;Bolaang Mongondow Timur
Mego;Sikka
Mamboro;Sumba Tengah
Losari;Brebes
Makian Barat;Halmahera Selatan
Mimika Barat Jauh;Mimika
Leupung;Aceh Besar
Masalembu;Sumenep
Mergangsan;Yogyakarta
Mimika Barat Tengah;Mimika
Lotu;Nias Utara
Linge;Aceh Tengah
Mamosalato;Morowali Utara
Mook Manaar Bulatn;Kutai Barat
Mimika Baru;Mimika
Merigi;Kepahiang
Luwuk Utara;Banggai
Lingga;Lingga
Muara Bengkal;Kutai Timur
Mehalaan;Mamasa
Mampang Prapatan;Jakarta Selatan
Kuta Utara;Badung
Mejayan;Madiun
Merigi Kelindang;Bengkulu Tengah
Masalle;Enrekang
Muara Bulian;Batanghari
Leuser;Aceh Tenggara
Masama;Banggai
Moora;Nabire
Mamuju;Mamuju
Luyo;Polewali Mandar
Loura;Sumba Barat Daya
Ngadirojo;Wonogiri
Masamba;Luwu Utara
Muara Dua;Lhokseumawe
Merigi Sakti;Bengkulu Tengah
Lowokwaru;Malang
Lingga Bayu;Mandailing Natal
Mananggu;Boalemo
Masanda;Tana Toraja
Mejobo;Kudus
Mootilango;Gorontalo
Luahagundre Maniamolo;Nias Selatan
Ngadirojo;Pacitan
Ma'u;Nias
Merlung;Tanjung Jabung Barat
Muara Dua (Muaradua);Ogan Komering Ulu Selatan
Mekakau Ilir;Ogan Komering Ulu Selatan
Mersam;Batanghari
Mancak;Serang
Masaran;Sragen
Mekar Baru;Tangerang
Moraid;Tambrauw
Ngadu Ngala;Sumba Timur
Kutabuluh (Kuta Buluh);Karo
Mertoyudan;Magelang
Mandah;Indragiri Hilir
Pakualaman;Yogyakarta
Maba;Halmahera Timur
Mandai;Maros
Moramo;Konawe Selatan
Pakuan Ratu;Way Kanan
Mekarjaya;Pandeglang
Lingga Timur;Lingga
Mandalajati;Bandung
Maba Selatan;Halmahera Timur
Moramo Utara;Konawe Selatan
Pakue;Kolaka Utara
Leuwidamar;Lebak
Mori Atas;Morowali Utara
Mandalawangi;Pandeglang
Pancatengah;Tasikmalaya
Maba Tengah;Halmahera Timur
Pakue Tengah;Kolaka Utara
Minasa Tene;Pangkajene Kepulauan
Nguling;Pasuruan
Ngaglik;Sleman
Lingga Utara;Lingga
Panceng;Gresik
Mekarmukti;Garut
Makimi;Nabire
Pakue Utara;Kolaka Utara
Mori Utara;Morowali Utara
Pancoran;Jakarta Selatan
Pakuhaji;Tangerang
Mesidah;Bener Meriah
Nguntoronadi;Magetan
Leuwigoong;Garut
Pakuniran;Probolinggo
Pancoran Mas;Depok
Ngajum (Ngajung);Malang
Mukok;Sanggau
Makki;Lanny Jaya
Mandalle;Pangkajene Kepulauan
Pancung Soal;Pesisir Selatan
Maba Utara;Halmahera Timur
Mesjid Raya;Aceh Besar
Pakusari;Jember
Nguntoronadi;Wonogiri
Moro;Karimun
Pancur;Rembang
Pal Merah (Palmerah);Jakarta Barat
Mindiptana;Boven Digoel
Messawa;Mamasa
Mulak Sebingkai;Lahat
Mandastana;Barito Kuala
Mekarsari (Mekar Sari);Barito Kuala
Moro'o;Nias Barat
Ngunut;Tulungagung
Ngaliyan;Semarang
Leuwiliang;Bogor
Mestong;Muaro Jambi
Pancur Batu;Deli Serdang
Palabuhanratu (Pelabuhanratu);Sukabumi
Linggang Bigung;Kutai Barat
Pandaan;Pasuruan
Minggir;Sleman
Muara Dua Kisam (Muaradua Kisam);Ogan Komering Ulu Selatan
Mulak Ulu;Lahat
Melagi;Lanny Jaya
Palakka;Bone
Ngusikan;Jombang
Mesuji;Ogan Komering Ilir
Ngambon;Bojonegoro
Mabugi;Puncak
Pandak;Bantul
Palang;Tuban
Moronge;Kepulauan Talaud
Minyambaouw;Pegunungan Arfak
Mulia;Puncak Jaya
Muara Enim;Muara Enim
Pandan;Tapanuli Tengah
Macang Pacar;Manggarai Barat
Palangga;Konawe Selatan
Nguter;Sukoharjo
Makmur;Bireuen
Pandanarum;Banjarnegara
Mandau;Bengkalis
Mesuji;Mesuji
Muliama;Jayawijaya
Linggo Sari Baganti;Pesisir Selatan
Ngambur;Pesisir Barat
Pandawai;Sumba Timur
Minyamur;Mappi
Mesuji Makmur;Ogan Komering Ilir
Nibong;Aceh Utara
Palangga (Pallangga);Gowa
Malabotom;Sorong
Pandawan;Hulu Sungai Tengah
Muara Harus;Tabalong
Lingsar;Lombok Barat
Mulyorejo;Surabaya
Mandau Talawang;Kapuas
Melagineri;Lanny Jaya
Mesuji Raya;Ogan Komering Ilir
Pandeglang;Pandeglang
Palangga Selatan;Konawe Selatan
Mesuji Timur;Mesuji
Madang Suku I;Ogan Komering Ulu Timur
Ngampel;Kendal
Miomaffo Barat (Miomafo Barat);Timor Tengah Utara
Mande;Cianjur
Melak;Kutai Barat
Nibung;Musi Rawas Utara
